Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
74,A To Z Cake Shop,3,10,75,300,Mumbai,Mumbai Central,FALSE,0
75,Shagun,3.9,10,150,700,Mumbai,Mumbai Central,FALSE,5
76,Sahyadri Restaurant,3.6,10,125,550,Mumbai,Mumbai Central,FALSE,3
77,Shree Sai St Refreshment,2,10,50,500,Mumbai,Mumbai Central,FALSE,5
78,Good Fettle - Healthy Ice Cream,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
79,Hindmata Veg Bistro,2,10,50,500,Mumbai,Tardeo,FALSE,0
80,Chandrakant Tea House,2,10,50,250,Mumbai,Mumbai Central,FALSE,1
81,SKP Foods,3.7,10,50,150,Mumbai,Tardeo,FALSE,2
82,Sudhir Milk Suppliers,2,10,50,150,Mumbai,Tardeo,FALSE,0
83,Yewale Amruttulya,5,10,150,100,Mumbai,Tulsiwadi,FALSE,0
84,Gausiya Hotel,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
85,Games Of Thali,2,10,50,400,Mumbai,Tardeo,FALSE,3
86,Hindmata,4.1,10,75,600,Mumbai,Tardeo,FALSE,5
87,Sahyadri Sweets,4.1,10,50,500,Mumbai,Kamathipura,FALSE,15
88,Sahyadri,3.7,10,150,700,Mumbai,Mumbai Central,FALSE,25
89,Lamgeer Restaurant,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
90,Ice Cream Works,3,10,75,300,Mumbai,Mumbai Central,FALSE,0
91,Suey Quality Products,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
92,Beans & Breads,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
93,Lalit Lunch Home,3.5,10,50,500,Mumbai,Mumbai Central,FALSE,0
94,Ravi Stores,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
95,Jayesh Tea Point,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
96,Baraa Maaa,4.5,10,75,500,Mumbai,Tardeo,FALSE,3
97,London Bubble Co.,3,10,75,400,Mumbai,Mumbai Central,FALSE,0
98,Domino's Pizza,3.8,15,150,500,Mumbai,Tardeo,FALSE,3
99,Jainsons Hotel,2.6,10,75,650,Mumbai,Kamathipura,FALSE,0
100,Juned Ansari Mrs Saleha Khatoon Store,3,5,30,500,Mumbai,Mumbai Central,FALSE,0
101,SR Food Corner,2,10,50,200,Mumbai,Tardeo,FALSE,1
102,High Class Restaurant,2,10,50,500,Mumbai,Tardeo,FALSE,0
103,New Central Bakery,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
104,Chhaya,4.2,10,50,400,Mumbai,Mumbai Central,FALSE,0
105,New High Class,3.9,10,75,550,Mumbai,Tardeo,FALSE,13
106,London Bubble Co.,2,10,100,500,Mumbai,Khardi,FALSE,0
107,Khao Woww,3,5,30,500,Mumbai,Mumbai Central,FALSE,0
108,Iqra,2,10,100,500,Mumbai,Khardi,FALSE,0
109,Patooti Cakes,3,5,30,200,Mumbai,Grant Road,FALSE,0
110,Sairaj Snacks Corner,3,10,75,250,Mumbai,Tardeo,FALSE,9
111,New High class Restaurant,3,10,75,500,Mumbai,Tardeo,TRUE,0
112,Max Goes Wheatless,2,10,50,500,Mumbai,Tardeo,FALSE,0
113,It's Yummy,3.4,10,50,300,Mumbai,Mumbai Central,FALSE,8
114,Islami Yadgar Family Restaurant,3.1,10,50,500,Mumbai,Mumbai Central,FALSE,26
115,Creme Cookies,4.3,5,30,300,Mumbai,Tardeo,FALSE,1
116,Ajmeri Caterers,2,10,50,300,Mumbai,Tulsiwadi,FALSE,0
117,U.K.Sales,2,10,50,500,Mumbai,Tardeo,FALSE,0
118,Wow Chow,4.1,10,50,250,Mumbai,Tardeo,FALSE,3
