Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
1825,Rumi Kebab,3,5,30,350,Mumbai,Nagpada,FALSE,0
1826,Guruprasad Fine Dine Pure Veg Restaurant,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
1827,Apron Patisserie,3.9,10,75,300,Mumbai,Breach Candy,FALSE,5
1828,Bombay Lunch Home,2,10,50,250,Mumbai,Khetwadi,FALSE,1
1829,Shake It Health Food And Beverages,2,10,50,800,Mumbai,Byculla,FALSE,4
1830,Khan Sahab Sheesha And Lounge,2,10,50,500,Mumbai,CP Tank,FALSE,0
1831,Ganesh Hotel,3,5,30,500,Mumbai,Byculla West,FALSE,0
1832,Hotel Shree Ganesh,3.4,10,150,700,Mumbai,Byculla,FALSE,7
1833,The Diet Bar,2,10,50,500,Mumbai,Nagpada,FALSE,0
1834,Blaze N Grill,4.3,10,50,300,Mumbai,Kemps Corner,FALSE,1
1835,Ratanlal Barfiwala,2,10,50,500,Mumbai,Girgaum,FALSE,0
1836,Sufi Albaik,3,5,30,300,Mumbai,Mumbai Central,FALSE,0
1837,Malvani Hotel Restaurant,2,10,50,500,Mumbai,Girgaum,FALSE,0
1838,Cafe Vihar,2,10,50,500,Mumbai,Opera House,FALSE,0
1839,Al Baik Fast Food (Sufi),2,10,50,500,Mumbai,Mumbai Central,FALSE,5
1840,Momos Fried Nation,3.2,10,50,300,Mumbai,Nagpada,FALSE,1
1841,Cream And Fudge,2,10,100,500,Mumbai,Gamdevi,FALSE,0
1842,Jai Malhar Fast Food,2,10,50,500,Mumbai,Grant Road,FALSE,0
1843,Ahlan Luxury Gourmet,2,10,50,150,Mumbai,Kemps Corner,FALSE,3
1844,Manoj Wtc Pasta,4.3,10,75,500,Mumbai,Chowpatty,FALSE,5
1845,Yummy Cake Zone,2,10,50,500,Mumbai,Byculla West,FALSE,0
1846,90 Degrees-The Cake Studio,4,10,50,300,Mumbai,Byculla,FALSE,1
1847,Shake It,3,10,75,300,Mumbai,Jacob Circle,FALSE,0
1848,Beles Sweets,2,10,50,150,Mumbai,Byculla West,FALSE,0
1849,Bharat Coffee House,2,10,50,350,Mumbai,Girgaum,FALSE,1
1850,Bharath Cafe House,4.1,10,50,150,Mumbai,CP Tank,FALSE,11
1851,Bharat Coffee House,2,10,50,500,Mumbai,CP Tank,FALSE,0
1852,Softy-Ice Cream,2,10,100,500,Mumbai,Girgaum,FALSE,0
1853,BYCULLA TAKE AWAY,2,10,50,500,Mumbai,Jacob Circle,FALSE,0
1854,Momo's Nation,3,5,30,500,Mumbai,Nagpada,FALSE,1
1855,Saikrupa Tea Cold Drink And Snack,2,10,50,500,Mumbai,Chinchpokli,FALSE,0
1856,Mini Mahabaleshwar Cream Delight,2,10,50,200,Mumbai,Mumbai Central,FALSE,4
1857,Dadi Ke Kulche,2,10,50,500,Mumbai,Girgaum,FALSE,0
1858,Chunkies,4.2,10,50,300,Mumbai,Byculla,FALSE,6
1859,London Dairy,3.7,5,30,300,Mumbai,Girgaum,FALSE,6
1860,GetAWay - Ice Creams & Desserts,3,5,30,400,Mumbai,Khetwadi,FALSE,3
1861,Navam Dining,3,5,30,450,Mumbai,Girgaum,FALSE,0
1862,Grab N Go Fast Food,2,10,50,250,Mumbai,VJB Udyan,FALSE,0
1863,Iqbal Chana,2,10,50,100,Mumbai,Grant Road,FALSE,0
1864,Bebe De Parathe,2,10,50,500,Mumbai,Girgaum,FALSE,0
1865,Snowmans Ice Cream Parlour,2,10,50,500,Mumbai,Breach Candy,FALSE,0
1866,Kuteer Bar & Restaurant,4.5,10,50,500,Mumbai,Chowpatty,FALSE,2
1867,Jai Malhar,2,10,100,500,Mumbai,Gamdevi,FALSE,0
1868,Biryaan,2,10,100,500,Mumbai,Girgaum,FALSE,0
1869,Diamond Samosa,3.5,10,50,100,Mumbai,Mumbai Central,FALSE,1
1870,Graduate Vadapav Head Outlet,3,5,30,100,Mumbai,Byculla,FALSE,0
1871,Graduate Vadapav Head Outlet,3,5,30,100,Mumbai,Byculla,FALSE,0
1872,Bagdadi Fast Food Center,3,20,125,400,Mumbai,Bhendi Bazar,FALSE,6
1873,Candy Stores,2,10,50,,Mumbai,Cumbala Hill,FALSE,0
1874,Snowmans At Taploud,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
1875,Toujours,2,10,50,500,Mumbai,Breach Candy,FALSE,0
1876,Sakhi Falooda,3,5,30,150,Mumbai,Mumbai Central,FALSE,0
1877,Right Place,4.5,10,50,300,Mumbai,Breach Candy,FALSE,2
1878,Belstone,4.2,10,100,550,Mumbai,Girgaum,FALSE,13
1879,Cocoa Box Cake Cafe,2,10,50,300,Mumbai,Girgaum,FALSE,1
1880,Dhamaal,2,10,100,500,Mumbai,Opera House,FALSE,0
1881,Bhau Ki Chai,2,10,50,100,Mumbai,Girgaum,FALSE,2
1882,Bombay Burgers,2,10,100,500,Mumbai,Nagpada,FALSE,0
1883,Bina's Fresh Batch,2,10,50,500,Mumbai,Gamdevi,FALSE,0
1884,Onomato Pizza,2,10,50,250,Mumbai,Breach Candy,FALSE,5
1885,Sai Siddhi Caterers,2,10,50,500,Mumbai,Byculla,FALSE,0
1886,Anando @ Snowmans,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
1887,Mateshvari Chat Center,2,10,50,100,Mumbai,Girgaum,FALSE,1
1888,Janata Tawa And Grill,2,10,50,200,Mumbai,Nagpada,FALSE,0
1889,Mad Over Donuts,4.1,10,75,350,Mumbai,Breach Candy,TRUE,3
1890,Monginis Cake Shop,3,5,30,450,Mumbai,Mahalaxmi,FALSE,0
1891,Tibbs Da Biryani Tadka,3,5,30,200,Mumbai,Breach Candy,FALSE,2
1892,Beles Ashok Dugdhalaya,2,10,50,200,Mumbai,Byculla,FALSE,3
1893,Shack 66,2,10,50,500,Mumbai,Breach Candy,FALSE,0
1894,Via Calcutta,4,5,30,300,Mumbai,Breach Candy,FALSE,2
1895,Bele's Ashok Dugdhalaya,4.1,10,50,250,Mumbai,Byculla,FALSE,10
1896,Akshay Bar,3.5,10,50,500,Mumbai,CP Tank,FALSE,0
1897,Guru Kripa,2,10,100,500,Mumbai,Mahalaxmi,FALSE,0
1898,JANTA CHIKKI SHOP,4.1,10,50,200,Mumbai,Girgaum,FALSE,0
1899,Subway,3,5,30,350,Mumbai,Gamdevi,FALSE,0
1900,Happy Food Corner,2,10,50,300,Mumbai,Nagpada,FALSE,4
1901,Rumali Farsan Mart,2,10,50,700,Mumbai,Mumbai Central,FALSE,1
1902,"Cheezters ,Wood Fire Pizza",2,10,50,500,Mumbai,Girgaum,FALSE,0
1903,Albaik Albrost,4.6,10,75,500,Mumbai,Nagpada,FALSE,19
1904,Nutrition Zone,2.8,10,50,300,Mumbai,CP Tank,FALSE,1
1905,Birdys Bakery & Patisserie,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
1906,Tadaka Restaurant,3.8,10,50,500,Mumbai,Girgaon Chowpatty,FALSE,4
1907,Snowmans,2,10,50,300,Mumbai,Breach Candy,FALSE,2
1908,Ice Cream Works,3.9,10,100,400,Mumbai,Breach Candy,FALSE,1
1909,Mughlai Kitchen,3,10,75,300,Mumbai,Nagpada,FALSE,2
1910,Fantasie Fine Chocolates,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
1911,BACO SHAWARMA,2,10,50,500,Mumbai,Nagpada,FALSE,0
1912,Zaffran,2,10,100,500,Mumbai,Gamdevi,FALSE,0
1913,Gourmet Ice Cream Cakes by Baskin Robbins,4,5,30,600,Mumbai,Girgaum,FALSE,2
1914,Baskin Robbins Happyness Shakes,3,5,30,500,Mumbai,Girgaum,FALSE,4
1915,Nawabi's Tawa - Chinese Restaurant,3,5,30,200,Mumbai,Byculla,FALSE,1
1916,Mystique Chocolates & More,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
1917,Hotel Calicut Father,2,10,50,500,Mumbai,Nagpada,FALSE,0
1918,Hotel Calicut,3,5,30,350,Mumbai,Nagpada,FALSE,0
1919,Royal Bite,4,10,50,200,Mumbai,Girgaum,FALSE,0
1920,kisu corporate services,4.3,10,50,500,Mumbai,Khetwadi,FALSE,0
1921,Shree Santoshi Mata Bhojnalaya,2,10,50,500,Mumbai,Mahalaxmi,FALSE,1
1922,Nilgiri Restaurant,2,10,50,200,Mumbai,Nagpada,FALSE,0
1923,The Nocturnal Kitchen,2,10,100,500,Mumbai,VJB Udyan,FALSE,3
1924,Oho Shawarma Jj,3.9,10,50,300,Mumbai,Mumbai Central,FALSE,1
1925,Pappu Juice Centre,3,20,125,200,Mumbai,Nagpada,FALSE,4
1926,Monpara Sweets,4,10,50,300,Mumbai,Khetwadi,FALSE,0
1927,"Mom's Kitchen, Yusuf Chamber",3.7,10,125,600,Mumbai,VJB Udyan,FALSE,3
1928,Peppillon Nx,2,10,50,500,Mumbai,Ambewadi,FALSE,0
1929,Hediard Cafe & Restaurant,2,10,50,500,Mumbai,Mahalaxmi,FALSE,0
1930,Francescos Pizzeria,3,10,75,500,Mumbai,Kemps Corner,FALSE,0
1931,Flash Pizza,3,10,75,500,Mumbai,Kemps Corner,FALSE,0
1932,Ram Punjab Restaurant & Bar,4.7,10,50,500,Mumbai,Byculla,FALSE,0
1933,Al Bareek,3.9,10,75,300,Mumbai,Mumbai Central,FALSE,3
1934,Patel Ice Cream,3.9,10,50,300,Mumbai,Ambewadi,FALSE,11
1935,Babboo Bhai,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
1936,Chuski,2,10,100,500,Mumbai,Ambewadi,FALSE,0
1937,Kamal Bhel Puri House,4.3,10,75,300,Mumbai,Girgaum,FALSE,9
1938,Guptaji Sandwich & Snacks Corner,3,5,30,500,Mumbai,Gamdevi,FALSE,0
1939,Seekh Darbar,3,5,30,200,Mumbai,Jacob Circle,FALSE,0
1940,Tasty Byts,2,10,50,400,Mumbai,Ambewadi,FALSE,0
1941,Excellency Bar,2,10,50,500,Mumbai,Girgaum,FALSE,0
1942,Patel Ice Cream & Restaurant,4.6,10,50,500,Mumbai,CP Tank,FALSE,0
1943,Moti Milk Centre,3.8,10,50,200,Mumbai,Byculla,FALSE,2
1944,Savoury Veg Restaurant,2,10,50,400,Mumbai,Opera House,FALSE,0
1945,Bina’s Fresh Batch - Homemade Ice Cream,4.1,10,125,700,Mumbai,Chowpatty,FALSE,1
1946,Pappu Juice Centre,3,5,30,150,Mumbai,Nagpada,FALSE,0
1947,Al~Laziz Seekh Corner,2,10,50,500,Mumbai,Nagpada,FALSE,0
1948,Krishna Palace,4.8,10,100,500,Mumbai,Breach Candy,FALSE,0
1949,Foodiz Junction,2,10,50,400,Mumbai,Mumbai Central,FALSE,3
1950,Cuisson,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
1951,Happiness Deli,2,10,100,500,Mumbai,CP Tank,FALSE,0
1952,Nagraj Bar & Restaurant,2,10,50,500,Mumbai,Byculla,FALSE,0
1953,Mr Charcoal Shawarma,3.8,5,30,300,Mumbai,Nagpada,FALSE,1
1954,King's Shawarma,3.7,10,50,300,Mumbai,Mumbai Central,FALSE,1
1955,Vicky Restaurant & Bar,2,10,50,500,Mumbai,Byculla,FALSE,0
1956,Hamza Fast Food,4.2,10,50,200,Mumbai,Nagpada,FALSE,1
1957,Z Spice,4,10,50,300,Mumbai,Nagpada,FALSE,1
1958,Shree Krishna Dairy Farm,2,10,50,200,Mumbai,Girgaum,FALSE,4
1959,Yogurtlite,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
1960,Cacao Monk,2,10,50,300,Mumbai,Kemps Corner,FALSE,0
1961,Gulshan Sweets & Dairy,2,10,50,500,Mumbai,Nagpada,FALSE,0
1962,Delish Fast Food Corner,3.4,10,50,500,Mumbai,Mumbai Central,FALSE,1
1963,All In 1 By Funshalla,4.3,10,50,500,Mumbai,Girgaum,FALSE,38
1964,Babu Idli Wala (Street Vendor),2,10,50,500,Mumbai,Opera House,FALSE,0
1965,Qinaat Shawarma And Fast Food,2,10,50,500,Mumbai,Mohammed Ali Road,FALSE,0
1966,Blends & Bowls,2,10,50,200,Mumbai,Breach Candy,FALSE,6
1967,Rohan Restaurant & Bar,2,10,50,500,Mumbai,CP Tank,FALSE,0
1968,Fatima's Kitchen,2,10,50,150,Mumbai,VJB Udyan,FALSE,0
1969,FOOD PLAZA,3,10,75,,Mumbai,Ambewadi,FALSE,0
1970,Samadhan Chinese Restaurant,2,10,50,400,Mumbai,Byculla,FALSE,0
1971,Health Juice Centre,3.9,10,75,350,Mumbai,Girgaum,FALSE,13
1972,All In 1,3.1,10,150,950,Mumbai,Girgaum,FALSE,1
1973,Rocky Rolls,3.7,10,50,300,Mumbai,Girgaum,FALSE,2
1974,Paramount Restaurant,3,20,125,350,Mumbai,CP Tank,FALSE,7
1975,Nothing But Chicken,4.2,10,50,500,Mumbai,Kemps Corner,FALSE,3
1976,House Of Misal,3.5,10,75,300,Mumbai,Girgaum,FALSE,4
1977,Raza Tikka Corner,2,10,50,500,Mumbai,Nagpada,FALSE,0
1978,Bake Studio,3,10,75,300,Mumbai,Byculla,FALSE,0
1979,Cereal Pop Cafe,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
1980,The Baker's Dozen,3.9,10,75,300,Mumbai,Kemps Corner,FALSE,1
1981,The Baker's Dozen,3.6,10,100,400,Mumbai,Kemps Corner,FALSE,10
1982,Rampunjab,4,10,175,800,Mumbai,Byculla,FALSE,8
1983,Neeru's Cakes & Desserts,2,10,50,200,Mumbai,Kemps Corner,FALSE,3
1984,New Hadiya Sweets & Bakery,2,10,50,500,Mumbai,Nagpada,FALSE,0
1985,District Lounge - The Shalimar Hotel,3.8,10,125,1400,Mumbai,Kemps Corner,FALSE,3
1986,Vihar Coffee House,4.7,10,100,900,Mumbai,Opera House,FALSE,0
1987,Kesar Mithai Vatika,4.8,10,125,300,Mumbai,Girgaum,FALSE,0
1988,One More Bite,2,10,50,200,Mumbai,Byculla,FALSE,0
1989,Regal Restaurant,2,10,100,500,Mumbai,Byculla East,FALSE,0
1990,Central Canteen,3,10,50,100,Mumbai,Mazgaon,FALSE,1
1991,Yo!! The Deli - The Shalimar Hotel,4.7,10,75,600,Mumbai,Kemps Corner,FALSE,3
1992,Shree Krishna Mathura Bhuvan,2,10,50,200,Mumbai,Girgaon Chowpatty,FALSE,0
1993,The Bakerie - The Shalimar Hotel,4.4,10,50,400,Mumbai,Kemps Corner,FALSE,12
1994,Aishwarya Bar And Restaurant,1.9,10,75,750,Mumbai,VJB Udyan,FALSE,0
1995,Gulmurg - The Shalimar Hotel,4.2,10,200,1900,Mumbai,Kemps Corner,FALSE,27
1996,Delhi Zaika,3.8,10,250,1200,Mumbai,Nagpada,FALSE,38
1997,Sanchori Jain Yuvak Mandal Bhojanshaala,4,10,50,350,Mumbai,Khetwadi,FALSE,0
1998,Bombay Khalifa Lounge,2,10,50,500,Mumbai,Mahalaxmi,FALSE,0
1999,Madura Dlites,3,5,30,500,Mumbai,Girgaum,FALSE,0
2000,Palanpur Bhojanshala,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2001,Tool House Cafe,3,10,50,400,Mumbai,Chowpatty,FALSE,4
2002,J J Kabab,2,10,50,500,Mumbai,Nagpada,FALSE,0
2003,Gulmurg Restaurant,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2004,Chick's & Fin's,2,10,50,400,Mumbai,Byculla,FALSE,4
2005,The Bakerie,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2006,Sai Snacks,2,10,50,150,Mumbai,Byculla,FALSE,0
2007,Mom's Kitchen,3.8,10,100,500,Mumbai,Byculla,FALSE,1
2008,Maratha Biryani House,2,10,100,500,Mumbai,Byculla,FALSE,11
2009,Aparna Refreshment,3.6,10,50,300,Mumbai,Opera House,FALSE,5
2010,Renault Bar & Restaurant,4.1,10,100,800,Mumbai,Byculla,FALSE,11
2011,Merwans Byculla,4.1,10,50,250,Mumbai,VJB Udyan,FALSE,0
2012,Nagraj Lunch Home,2,10,50,500,Mumbai,Byculla,FALSE,0
2013,Anmol Tea,2,10,50,500,Mumbai,Opera House,FALSE,0
2014,China Express,2.9,10,75,250,Mumbai,Byculla,FALSE,6
2015,Graduate Vadapav,2,10,50,100,Mumbai,Byculla,FALSE,3
2016,Merwan Cake Top,4,5,30,500,Mumbai,Byculla,FALSE,0
2017,Madina Sharif Hotel,2,10,50,500,Mumbai,Nagpada,FALSE,0
2018,Cafe Calma,3,5,30,2200,Mumbai,Kemps Corner,FALSE,0
2019,Regal Restaurant,3.6,10,50,250,Mumbai,Byculla,FALSE,2
2020,Street Food Alley,2,10,50,300,Mumbai,Mahalaxmi,FALSE,1
2021,Jainam Sweet,2,10,50,500,Mumbai,Girgaum,FALSE,0
2022,Macca Sharif Hotel,2,10,50,500,Mumbai,Kamathipura,FALSE,0
2023,District Lounge,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2024,Yo!! The Deli,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2025,NRI - Naans & Rolls Of India,3.6,5,30,500,Mumbai,Kemps Corner,FALSE,10
2026,Nova Artisan Gelato,4.1,10,50,350,Mumbai,Kemps Corner,FALSE,3
2027,Any Time Eats,2,10,50,400,Mumbai,Girgaum,FALSE,1
2028,Ababil Foods & Snacks,2,10,50,200,Mumbai,Mumbai Central,FALSE,1
2029,New Sunrise Restaurant,3.7,3,25,500,Mumbai,Byculla,FALSE,26
2030,Martand Misal,3,5,30,300,Mumbai,Byculla,FALSE,0
2031,Vanakkam Vihar,4.1,10,75,600,Mumbai,Girgaum,FALSE,9
2032,Icing On Top,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2033,Bomi Patel & Kaizad Patel Caterers,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2034,Joshi Ramaji Ranchod,2,10,50,500,Mumbai,Girgaon Chowpatty,FALSE,0
2035,EPL : Eat Pray Luv,3.7,10,150,1300,Mumbai,Opera House,FALSE,11
2036,Sir Ratan Tata Institute,4.6,10,50,300,Mumbai,Grant Road,FALSE,0
2037,HM Foods,2,10,50,200,Mumbai,Kemps Corner,FALSE,2
2038,Eat Pray Luv Restaurant,2,10,50,500,Mumbai,Opera House,FALSE,0
2039,Choc O Bloc,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
2040,Pizza Polis,2,10,50,500,Mumbai,Byculla,FALSE,0
2041,Kanta Nagpal,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2042,Ulta Pizza,4.1,5,100,300,Mumbai,Kemps Corner,FALSE,8
2043,Jack and Jill Foods - Food Truck,3,5,30,200,Mumbai,Byculla,FALSE,0
2044,Cake Lab,2,10,100,600,Mumbai,Byculla,FALSE,0
2045,Narayan's Dosa,4.5,10,50,300,Mumbai,Opera House,FALSE,1
2046,Kolkata Egg Roll,4.1,10,50,200,Mumbai,Mumbai Central,FALSE,1
2047,Cocoaboxcakecafe,3,5,30,500,Mumbai,Girgaum,FALSE,0
2048,Tasty Food & Chinese Tadka,3,5,30,100,Mumbai,Mahalaxmi,FALSE,0
2049,Shri Swami Samarth Annadata Aahar Kendra,3,5,30,200,Mumbai,Mahalaxmi,FALSE,2
2050,The Kitchen,4.6,10,100,450,Mumbai,Cumbala Hill,FALSE,0
2051,Persian Darbar,4,20,300,1800,Mumbai,Byculla,FALSE,15
2052,Bake Studio,3,10,75,600,Mumbai,Byculla,FALSE,2
2053,Husttle Bar & Bistro,4.4,10,200,2000,Mumbai,Girgaon Chowpatty,FALSE,18
2054,Al Baik,4,10,75,350,Mumbai,Nagpada,FALSE,8
2055,Gokul Restaurant,4.4,10,100,500,Mumbai,CP Tank,FALSE,0
2056,Golden Bhel,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2057,Hashtag Fine Dine | Lounge,4.3,10,50,500,Mumbai,Girgaum,FALSE,0
2058,Mama Mia!,3,5,30,500,Mumbai,Gamdevi,FALSE,0
2059,Eat2Fit,2,10,50,400,Mumbai,Mumbai Central,FALSE,5
2060,Juice Eat Up,2,10,50,500,Mumbai,Nagpada,FALSE,0
2061,New Alamgir Restaurant,2,10,50,300,Mumbai,Nagpada,FALSE,2
2062,Pappu juice wala,3,5,30,300,Mumbai,Nagpada,FALSE,0
2063,210 Veg. Gourmet Bakery,2,10,50,500,Mumbai,Breach Candy,FALSE,0
2064,Hotel Gokul,3.7,10,100,600,Mumbai,Girgaum,FALSE,28
2065,Gokul Pure Veg,3.8,10,50,250,Mumbai,Khetwadi,FALSE,13
2066,Alamgir Hotel,2,10,50,500,Mumbai,Kamathipura,FALSE,2
2067,Beijing Bowl,4.3,5,30,500,Mumbai,Jacob Circle,FALSE,4
2068,Jack and Jill Foods,2,10,50,500,Mumbai,Byculla,FALSE,2
2069,Seagull Cafe,2,10,50,500,Mumbai,Cumbala Hill,FALSE,0
2070,Jai Hind Hotel,2,10,100,500,Mumbai,Girgaum,FALSE,0
2071,Sumit Sandwich Corner,3.9,20,50,200,Mumbai,Byculla,FALSE,2
2072,Oh My Goodiess,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
2073,The Chinese Den,3.9,10,50,400,Mumbai,Byculla,FALSE,5
2074,Cheese Bites,2,10,50,300,Mumbai,Girgaum,FALSE,2
2075,Cheese Bites,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2076,New Cafeshirin Restaurant,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2077,Sanjukaka Deshmukh's Restaurant,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2078,Hotel Mahalaxmi Restaurant,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2079,One Stop,4.2,10,200,1150,Mumbai,Gamdevi,FALSE,0
2080,HUSTTLE - Bar & Bistro,3.9,10,150,1800,Mumbai,Girgaum,FALSE,2
2081,Naturally Delicious,2,10,50,200,Mumbai,Byculla,FALSE,1
2082,Burger King,4,10,75,400,Mumbai,VJB Udyan,FALSE,5
2083,Assal Chinese,2,10,50,500,Mumbai,Mazgaon,FALSE,2
2084,Cake Farm,2,10,100,500,Mumbai,VJB Udyan,FALSE,1
2085,Aavte Coldrink House,2,10,50,500,Mumbai,Ambewadi,FALSE,0
2086,Cake Adda,2,10,50,400,Mumbai,Byculla,FALSE,1
2087,Shiv Krishna,3.6,10,75,550,Mumbai,Opera House,FALSE,4
2088,Arogya Bhavan,3.9,10,50,300,Mumbai,VJB Udyan,FALSE,2
2089,Gloria,3.9,10,75,600,Mumbai,Byculla,FALSE,4
2090,Foodpedia,2,10,50,200,Mumbai,Girgaum,FALSE,3
2091,Girgaonvache Shreeram Boarding House,3,5,30,800,Mumbai,Byculla,FALSE,0
2092,Cafe Hind Restaurant and Bar,2.6,10,50,500,Mumbai,Bhuleshwar,FALSE,0
2093,Ratan Tata Institute,4.5,10,50,150,Mumbai,Gamdevi,FALSE,24
2094,Cobana Restaurant & Bar,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
2095,Persian Darbar Restaurant,4.2,10,50,500,Mumbai,Byculla,FALSE,0
2096,Dhamaal - The Desi Kitchen,3.6,10,200,1950,Mumbai,Opera House,FALSE,0
2097,Lucknow Zaika,5,10,150,650,Mumbai,Nagpada,FALSE,0
2098,Meghdoot Restaurant & Bar,4.7,10,150,1500,Mumbai,VJB Udyan,FALSE,12
2099,Udipi Krishna,4,10,50,500,Mumbai,Byculla,TRUE,11
2100,Cake Showroom,2,10,50,200,Mumbai,Byculla,FALSE,1
2101,Bina's Home-Made Ice Cream,2,10,100,400,Mumbai,Gamdevi,FALSE,1
2102,Zaika,3.6,10,100,500,Mumbai,Nagpada,FALSE,0
2103,Tiwari Brothers Eateries,4.1,10,50,350,Mumbai,Girgaon Chowpatty,FALSE,0
2104,Tewari Bros. Mithaiwala,4.1,10,75,300,Mumbai,Opera House,FALSE,2
2105,Spice Opera,2,10,50,250,Mumbai,Girgaum,FALSE,3
2106,Sr Foods,4.6,10,75,600,Mumbai,Chowpatty,FALSE,4
2107,Udipi Krishna,2,10,50,500,Mumbai,Byculla,FALSE,0
2108,Janata Tawa & Grill,4.2,10,150,650,Mumbai,Nagpada,FALSE,19
2109,Foodplaza,4.2,10,200,1400,Mumbai,Ambewadi,FALSE,0
2110,J J Jalebi,2,10,50,500,Mumbai,Nagpada,FALSE,0
2111,Ziyafat Restaurant,2,10,50,500,Mumbai,Kamathipura,FALSE,0
2112,Yummy N Fishy,2,10,50,500,Mumbai,Byculla,FALSE,0
2113,Rising Star Hospitality,4.8,10,50,500,Mumbai,Girgaum,FALSE,0
2114,Hotel Meghdoot,2,10,100,500,Mumbai,Byculla,FALSE,0
2115,Tastylicious,2,10,50,500,Mumbai,CP Tank,FALSE,0
2116,Radhe Farsan,3,5,30,200,Mumbai,Girgaum,FALSE,0
2117,Sr Meethas,2,10,50,500,Mumbai,Gamdevi,FALSE,0
2118,Prafulla Madira Gruha,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
2119,Zam Zam Sweets & Shokolaat Cake Shop,2,10,50,500,Mumbai,Byculla East,FALSE,0
2120,Shri Ram Bording House Bar And Restaurant,3.8,10,125,1150,Mumbai,Girgaum,FALSE,14
2121,Hind Mahila Samaj,2,10,50,500,Mumbai,Girgaon Chowpatty,FALSE,0
2122,Gloria Restaurant And Stores,3.9,10,50,500,Mumbai,Byculla,FALSE,0
2123,Botanica Cafe,3.8,10,150,1500,Mumbai,Opera House,FALSE,9
2124,Food Craft,2,10,100,500,Mumbai,Girgaum,FALSE,0
2125,Samrat Cafe,2,10,50,500,Mumbai,Girgaum,FALSE,0
2126,Juice Eat Up,3.5,10,50,250,Mumbai,Mazgaon,FALSE,8
2127,Royal Celebrations,3.6,10,50,200,Mumbai,Byculla,FALSE,4
2128,Foodie Boy,4.8,10,50,200,Mumbai,Byculla,FALSE,0
2129,The Foodies,4.5,10,50,250,Mumbai,Byculla,FALSE,8
2130,Aleemi Darbar Hotel,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
2131,Krussty Dough,2,10,50,400,Mumbai,Kemps Corner,FALSE,2
2132,shree krishna udipi restaurant,4.4,10,100,900,Mumbai,Chinchpokli,FALSE,0
2133,210 C,2,10,50,250,Mumbai,Cumbala Hill,FALSE,0
2134,Tewari Brothers,4.4,10,100,500,Mumbai,Girgaon Chowpatty,FALSE,0
2135,Victoria Liquor Bar,2,10,50,500,Mumbai,VJB Udyan,FALSE,0
2136,Jay's Food,2,10,50,400,Mumbai,Byculla,FALSE,2
2137,Bharat Canteen,3,5,30,400,Mumbai,CP Tank,FALSE,0
2138,Al Rehmani Restaurant,3.3,10,50,350,Mumbai,Nagpada,FALSE,4
2139,Vijay Amul Sandwich,2,10,50,500,Mumbai,Kemps Corner,FALSE,0
2140,Shree Ram Boarding House,4.1,3,25,500,Mumbai,Girgaum,FALSE,11
2141,Poco Loco Town,4.7,20,300,1700,Mumbai,Kemps Corner,FALSE,38
2142,5spice Chinese Restaurant,3.6,10,75,600,Mumbai,Mohammed Ali Road,FALSE,0
2143,Maratha Kitchen,2,10,50,300,Mumbai,Mahalaxmi,FALSE,0
2144,Arab's Shawarma,3,5,30,400,Mumbai,Mohammed Ali Road,FALSE,1
2145,Botanica Cafe & Dinner,2,10,50,500,Mumbai,Girgaon Chowpatty,FALSE,0
2146,OMS Snack Corner,2.8,10,50,500,Mumbai,CP Tank,FALSE,1
2147,Taher's Raj Kitchen,3,5,30,300,Mumbai,Byculla,FALSE,0
2148,Oms Corner,3.9,10,50,100,Mumbai,Girgaum,FALSE,3
2149,Imam Sharbathwala,2,10,50,500,Mumbai,Mohammed Ali Road,FALSE,0
2150,Punjabii Kitchen By Lemon N Spice,3,5,30,1100,Mumbai,Girgaum,FALSE,2
